path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription	dataset	assay	libraryType	individualID	isMultiSpecimen	program	resourceType	specimenID	project	dataLevel	fileFormat	dataType	platform
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L002_I1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L002_I1_001.fastq.gz	syn26370216	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L003_I1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L003_I1_001.fastq.gz	syn26370217	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L001_I1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L001_I1_001.fastq.gz	syn26370218	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L004_I1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L004_I1_001.fastq.gz	syn26370214	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L004_R1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L004_R1_001.fastq.gz	syn26370215	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L003_R1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L003_R1_001.fastq.gz	syn26370222	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L001_R2_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L001_R2_001.fastq.gz	syn26370209	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L002_R1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L002_R1_001.fastq.gz	syn26370221	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L002_R2_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L002_R2_001.fastq.gz	syn26370223	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L001_R1_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L001_R1_001.fastq.gz	syn26370213	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L003_R2_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L003_R2_001.fastq.gz	syn26370219	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
/raven/ptmp/oknight/ngs/ra/Sample_301_0270_Syn_BT_FB/301_0270_Syn_BT_FB_S46_L004_R2_001.fastq.gz	syn26367902	301_0270_Syn_BT_FB_S46_L004_R2_001.fastq.gz	syn26370220	True	application/octet-stream					syn47090942	scrnaSeq	feature barcode	301_0270	False	AMP-RA/SLE	experimentalData	Sample_301_0270_Syn_BT_FB	RA_PhaseII	1.0	fastq	geneExpression	Illumina NovaSeq 6000
